hour_utc,anchor_block,l1_gas_price_gwei,avg_gas_used,avg_gas_limit,utilization_pct,avg_tx_count,base_fee_gwei,n_blocks_sampled
2026-06-22T20:00:00+00:00,97014044,0.312704,283844,60000000,0.4731,2.00,50.00,6
2026-06-22T21:00:00+00:00,97015844,0.124648,135753,60000000,0.2263,1.67,50.00,6
2026-06-22T22:00:00+00:00,97017644,0.128038,80356,60000000,0.1339,1.17,50.00,6
2026-06-22T23:00:00+00:00,97019444,0.151831,50379,60000000,0.0840,1.17,50.00,6
2026-06-23T00:00:00+00:00,97021244,0.128897,46299,60000000,0.0772,1.00,50.00,3
2026-06-23T01:00:00+00:00,97023044,0.096712,84658,60000000,0.1411,1.67,50.00,6
2026-06-23T02:00:00+00:00,97024844,0.094163,80426,60000000,0.1340,1.33,50.00,6
2026-06-23T03:00:00+00:00,97026644,0.101818,65494,60000000,0.1092,1.17,50.00,6
2026-06-23T04:00:00+00:00,97028444,0.143999,135388,60000000,0.2256,1.50,50.00,6
2026-06-23T05:00:00+00:00,97030244,0.127782,66851,60000000,0.1114,1.17,50.00,6
2026-06-23T06:00:00+00:00,97032044,0.147254,136857,60000000,0.2281,1.83,50.00,6
2026-06-23T07:00:00+00:00,97033844,0.118059,108050,60000000,0.1801,2.17,50.00,6
2026-06-23T08:00:00+00:00,97035644,0.151694,176938,60000000,0.2949,3.00,50.00,6
2026-06-23T09:00:00+00:00,97037444,0.222894,207363,60000000,0.3456,2.50,50.00,6
2026-06-23T10:00:00+00:00,97039244,0.142014,165372,60000000,0.2756,2.67,50.00,6
2026-06-23T11:00:00+00:00,97041044,0.176577,82983,60000000,0.1383,1.67,50.00,6
2026-06-23T12:00:00+00:00,97042844,0.148931,87622,60000000,0.1460,1.50,50.00,6
2026-06-23T13:00:00+00:00,97044644,0.227654,92313,60000000,0.1539,1.33,50.00,6
2026-06-23T14:00:00+00:00,97046444,0.246925,46287,60000000,0.0771,1.00,50.00,1
2026-06-23T15:00:00+00:00,97048244,0.368932,50032,60000000,0.0834,1.00,50.00,6
2026-06-23T16:00:00+00:00,97050044,0.563432,259209,60000000,0.4320,1.83,50.00,6
2026-06-23T17:00:00+00:00,97051844,0.378217,160891,60000000,0.2682,1.33,50.00,6
2026-06-23T18:00:00+00:00,97053644,0.272127,118431,60000000,0.1974,1.17,50.00,6
2026-06-23T19:00:00+00:00,97055444,0.278603,123546,60000000,0.2059,1.67,50.00,6
2026-06-23T20:00:00+00:00,97057244,0.254399,136569,60000000,0.2276,2.00,50.00,6
2026-06-23T21:00:00+00:00,97059044,0.194508,66301,60000000,0.1105,1.17,50.00,6
2026-06-23T22:00:00+00:00,97060844,0.178140,88602,60000000,0.1477,1.33,50.00,6
2026-06-23T23:00:00+00:00,97062644,0.141723,92894,60000000,0.1548,1.33,50.00,6
2026-06-24T00:00:00+00:00,97064444,0.134120,137153,60000000,0.2286,1.33,50.00,6
2026-06-24T01:00:00+00:00,97066244,0.140471,111901,60000000,0.1865,1.33,50.00,6
2026-06-24T02:00:00+00:00,97068044,0.112892,291218,60000000,0.4854,2.33,50.00,6
2026-06-24T03:00:00+00:00,97069844,0.099453,307199,60000000,0.5120,2.83,50.00,6
2026-06-24T04:00:00+00:00,97071644,0.194583,266029,60000000,0.4434,2.17,50.00,6
2026-06-24T05:00:00+00:00,97073444,0.133607,291451,60000000,0.4858,2.83,50.00,6
2026-06-24T06:00:00+00:00,97075244,0.066890,303754,60000000,0.5063,3.17,50.00,6
2026-06-24T07:00:00+00:00,97077044,0.148870,304850,60000000,0.5081,3.17,50.00,6
2026-06-24T08:00:00+00:00,97078844,0.159088,293727,60000000,0.4895,3.00,50.00,6
2026-06-24T09:00:00+00:00,97080644,0.085528,325524,60000000,0.5425,3.17,50.00,6
2026-06-24T10:00:00+00:00,97082444,0.148189,292589,60000000,0.4876,3.17,50.00,6
2026-06-24T11:00:00+00:00,97084244,0.132874,216104,60000000,0.3602,3.00,50.00,6
2026-06-24T12:00:00+00:00,97086044,0.196807,120321,60000000,0.2005,1.67,50.00,6
